Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
b6af23f3-0548-3887-ac18-75fc2956ef11,ef58ea08-d883-3957-8300-150554edc8fb,Rosette746 Bruen238,F,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,654
681a09fc-1fda-3965-b79c-ad23621eb282,69176529-fd1f-3b3f-abce-a0a3626769eb,Lesley194 Fisher429,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2076
98cc32b5-e912-3e75-a73c-d7b423527e68,5e765f2b-e908-3888-9fc7-df2cb87beb58,Chauncey770 Steuber698,M,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,1765
648866b1-4f89-3fcd-a25b-a13b72a7742d,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Dagny669 Wyman904,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,2403
36ea0d13-089e-3da7-a1c9-9cd0b753170a,e002090d-4e92-300e-b41e-7d1f21dee4c6,Caitlyn56 Medhurst46,F,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,3299
d9c2a574-b73e-3c12-a278-25384a2d3d88,ef6ab57c-ed94-3dbe-9861-812d515918b3,Terrell212 Fadel536,F,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,906
6fc1c02b-ccab-3d54-9b84-57c0827d9bbc,49318f80-bd8b-3fc7-a096-ac43088b0c12,Óscar156 Pérez790,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1013
49d5e588-eb17-341e-b1fa-78d9257f1cc7,fbf6180e-b800-3ebe-b91d-93d0288c400e,Peter292 Wintheiser220,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,573
eef60d55-a9f6-30bf-af94-c17a66c9acea,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Margaret865 Herzog843,F,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,257
0822967b-b6a3-3c70-8772-fafe70b97ee9,4bdaa4c2-c664-3089-aee2-7137abbad27f,Delta800 Quigley282,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,2304
d6341ce6-cb19-3d36-99dd-782e642a0455,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Cecille691 Halvorson124,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,1420
1419b1ce-0f1c-3f61-a44f-692c7420f066,5d4b9df1-93ae-3bc9-b680-03249990e558,Vicente970 Kilback373,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,1354
